"","temp_student_id","number_accesses"
"1396",1396,3
"1397",1397,3
"1398",1398,8
"1399",1399,23
"1400",1400,8
"1401",1401,247
"1402",1402,5
"1403",1403,3
"1404",1404,4
"1405",1405,223
"1406",1406,93
"1407",1407,3
"1408",1408,48
"1409",1409,14
"1410",1410,59
"1411",1411,61
"1412",1412,176
"1413",1413,4
"1414",1414,251
"1415",1415,67
"1416",1416,24
"1417",1417,57
"1418",1418,10
"1419",1419,8
"1420",1420,3
"1421",1421,227
"1422",1422,10
"1423",1423,11
"1424",1424,127
"1425",1425,2
"1426",1426,62
"1427",1427,261
"1428",1428,30
"1429",1429,199
"1430",1430,20
"1431",1431,34
"1432",1432,9
"1433",1433,27
"1434",1434,21
"1435",1435,191
"1436",1436,2
"1437",1437,39
"1438",1438,207
"1439",1439,49
"1440",1440,3
"1441",1441,11
"1442",1442,237
"1443",1443,219
"1444",1444,16
"1445",1445,12
"1446",1446,11
"1447",1447,4
"1448",1448,254
"1449",1449,47
"1450",1450,30
"1451",1451,22
"1452",1452,88
"1453",1453,62
"1454",1454,62
"1455",1455,96
"1456",1456,3
"1457",1457,4
"1458",1458,24
"1459",1459,10
"1460",1460,97
"1461",1461,21
"1462",1462,32
"1463",1463,13
"1464",1464,11
"1465",1465,47
"1466",1466,9
"1467",1467,186
"1468",1468,60
"1469",1469,64
"1470",1470,18
"1471",1471,14
"1472",1472,3
"1473",1473,4
"1474",1474,3
"1475",1475,4
"1476",1476,9
"1477",1477,95
"1478",1478,4
"1479",1479,119
"1480",1480,23
"1481",1481,211
"1482",1482,3
"1483",1483,38
"1484",1484,10
"1485",1485,43
"1486",1486,10
"1487",1487,30
"1488",1488,84
"1489",1489,9
"1490",1490,123
"1491",1491,70
"1492",1492,4
"1493",1493,14
"1494",1494,9
"1495",1495,10
"1496",1496,34
"1497",1497,4
"1498",1498,199
"1499",1499,87
"1500",1500,4
"1501",1501,4
"1502",1502,3
"1503",1503,60
"1504",1504,9
"1505",1505,14
"1506",1506,261
"1507",1507,4
"1508",1508,204
"1509",1509,63
"1510",1510,76
"1511",1511,4
"1512",1512,35
"1513",1513,122
"1514",1514,11
"1515",1515,9
"1516",1516,8
"1517",1517,3
"1518",1518,194
"1519",1519,92
"1520",1520,8
"1521",1521,3
"1522",1522,13
"1523",1523,3
"1524",1524,88
"1525",1525,4
"1526",1526,37
"1527",1527,3
"1528",1528,9
"1529",1529,3
"1530",1530,95
"1531",1531,20
"1532",1532,2
"1533",1533,16
"1534",1534,4
"1535",1535,2
"1536",1536,31
"1537",1537,52
"1538",1538,3
"1539",1539,242
"1540",1540,16
"1541",1541,216
"1542",1542,16
"1543",1543,24
"1544",1544,112
"1545",1545,4
"1546",1546,4
"1547",1547,11
"1548",1548,247
"1549",1549,3
"1550",1550,3
"1551",1551,194
"1552",1552,65
"1553",1553,93
"1554",1554,11
"1555",1555,12
"1556",1556,9
"1557",1557,3
"1558",1558,3
"1559",1559,48
"1560",1560,106
"1561",1561,66
"1562",1562,129
"1563",1563,238
"1564",1564,21
"1565",1565,5
"1566",1566,54
"1567",1567,6
"1568",1568,9
"1569",1569,4
"1570",1570,63
"1571",1571,3
"1572",1572,196
"1573",1573,213
"1574",1574,3
"1575",1575,11
"1576",1576,17
"1577",1577,4
"1578",1578,63
"1579",1579,103
"1580",1580,104
"1581",1581,12
"1582",1582,15
"1583",1583,120
"1584",1584,5
"1585",1585,13
"1586",1586,3
"1587",1587,187
"1588",1588,55
"1589",1589,10
"1590",1590,95
"1591",1591,191
"1592",1592,40
"1593",1593,6
"1594",1594,105
"1595",1595,8
"1596",1596,26
"1597",1597,10
"1598",1598,3
"1599",1599,67
"1600",1600,5
"1601",1601,3
"1602",1602,199
"1603",1603,74
"1604",1604,54
"1605",1605,9
"1606",1606,4
"1607",1607,3
"1608",1608,59
"1609",1609,3
"1610",1610,179
"1611",1611,194
"1612",1612,147
"1613",1613,199
"1614",1614,24
"1615",1615,67
"1616",1616,4
"1617",1617,4
"1618",1618,4
"1619",1619,27
"1620",1620,6
"1621",1621,31
"1622",1622,8
"1623",1623,5
"1624",1624,41
"1625",1625,4
"1626",1626,16
"1627",1627,37
"1628",1628,26
"1629",1629,198
"1630",1630,11
"1631",1631,5
"1632",1632,3
"1633",1633,245
"1634",1634,10
"1635",1635,12
"1636",1636,3
"1637",1637,45
"1638",1638,3
"1639",1639,6
"1640",1640,19
"1641",1641,4
"1642",1642,204
"1643",1643,199
"1644",1644,180
"1645",1645,255
"1646",1646,4
"1647",1647,9
"1648",1648,31
"1649",1649,4
"1650",1650,8
"1651",1651,152
"1652",1652,194
"1653",1653,3
"1654",1654,251
"1655",1655,213
"1656",1656,15
"1657",1657,11
"1658",1658,168
"1659",1659,3
"1660",1660,246
"1661",1661,244
"1662",1662,232
"1663",1663,26
"1664",1664,145
"1665",1665,2
"1666",1666,10
"1667",1667,16
"1668",1668,84
"1669",1669,2
"1670",1670,32
"1671",1671,4
"1672",1672,4
"1673",1673,10
"1674",1674,3
"1675",1675,16
"1676",1676,26
"1677",1677,2
"1678",1678,46
"1679",1679,54
"1680",1680,3
"1681",1681,18
"1682",1682,4
"1683",1683,143
"1684",1684,25
"1685",1685,216
"1686",1686,202
"1687",1687,53
"1688",1688,57
"1689",1689,12
"1690",1690,226
"1691",1691,191
"1692",1692,3
"1693",1693,270
"1694",1694,5
"1695",1695,115
"1696",1696,88
"1697",1697,4
"1698",1698,41
"1699",1699,4
"1700",1700,9
"1701",1701,92
"1702",1702,67
"1703",1703,12
"1704",1704,4
"1705",1705,15
"1706",1706,32
"1707",1707,3
"1708",1708,121
"1709",1709,28
"1710",1710,59
"1711",1711,237
"1712",1712,97
"1713",1713,26
"1714",1714,61
"1715",1715,94
"1716",1716,4
"1717",1717,17
"1718",1718,28
"1719",1719,88
"1720",1720,11
"1721",1721,11
"1722",1722,4
"1723",1723,25
"1724",1724,36
"1725",1725,59
"1726",1726,245
"1727",1727,183
"1728",1728,98
"1729",1729,78
"1730",1730,32
"1731",1731,3
"1732",1732,110
"1733",1733,97
"1734",1734,257
"1735",1735,153
"1736",1736,3
"1737",1737,65
"1738",1738,4
"1739",1739,68
"1740",1740,94
"1741",1741,29
"1742",1742,49
"1743",1743,202
"1744",1744,84
"1745",1745,18
"1746",1746,71
"1747",1747,95
"1748",1748,10
"1749",1749,4
"1750",1750,20
"1751",1751,16
"1752",1752,3
"1753",1753,252
"1754",1754,4
"1755",1755,12
"1756",1756,12
"1757",1757,111
"1758",1758,5
"1759",1759,11
"1760",1760,199
"1761",1761,15
"1762",1762,4
"1763",1763,26
"1764",1764,243
"1765",1765,69
"1766",1766,53
